Object,Close-Approach (CA) Date,CA Distance Minimum (au),V relative (m/s),Estimated Diameter(meters),Mass(Kg),Force(joules),Megatons(TNT),Damage,Extinction
(2016 SR2),2018,0.04791,7270.0,19,64644552.03292143,234982946639.6694,17873.63747055406,Major extinction event,1
(2018 FU1),2018,0.03129,5900.0,14,25861590.72435288,76291692636.841,55051.865476265935,Major extinction event,1
(2018 FO4),2018,0.0197,6270.0,7984,4796591265250655.0,1.5037313616560804e+19,0.0002793052075055801,Large city block,0
(2018 FU3),2018,0.04484,8410.0,19,64644552.03292143,271830341298.43466,15450.81384196528,Major extinction event,1
(2018 FE4),2018,0.0336,20670.0,34,370431472.9701041,3828409273146.0254,1097.0613903431008,Continent exterminated,0
(2018 FB),2018,0.0125,8480.0,52,1325199179.5079482,5618844521113.7,747.484644612933,Minor extiction event,0
(2018 FB2),2018,0.02556,6700.0,24,130288130.52968448,436465237274.443,9622.759480748982,Major extinction event,1
(2010 GD35),2018,0.03966,11600.0,42,698262949.5575278,4049925107433.661,1037.056214271932,Continent exterminated,0
(2018 EM4),2018,0.01596,6190.0,29,229860909.6852196,711419515475.7545,5903.689607377854,Major extinction event,1
(2004 FG29),2018,0.00997,14920.0,21,87282868.69469097,651130200462.3947,6450.322834077429,Major extinction event,1
(2018 ER1),2018,0.03977,3970.0,24,130288130.52968448,258621939101.4237,16239.921541818181,Major extinction event,1
(2018 EB),2018,0.02657,15060.0,160,38603890527.313934,290687295670673.94,14.448515853813827,Entirety of Paris destroyed,0
(2018 FW4),2018,0.02469,11640.0,30,254469004.94079,1481009608755.3977,2835.9032751513146,Continent exterminated,0
363599 (2004 FG11),2018,0.04948,24520.0,210,87282868694.69098,1070087970196911.4,3.924910957766529,Entirety of Paris destroyed,0
(2014 UR),2018,0.02375,4390.0,15,31808625.61759875,69819933230.62926,60154.74099819827,Major extinction event,1
(2016 JP),2018,0.03073,12750.0,200,75398223686.16,480663675999270.0,8.737918444260345,Entirety of Paris destroyed,0
(2012 XL16),2018,0.040139999999999995,6060.0,26,165649897.43849352,501919189238.6354,8367.88090602993,Major extinction event,1
(2013 US3),2018,0.0259,7690.0,200,75398223686.16,289906170073285.2,14.487446055178076,Entirety of Paris destroyed,0
(2018 FV4),2018,0.04407,6510.0,54,1484063236.8146873,4830625835831.807,869.4525601312242,Minor extiction event,0
(2002 JR100),2018,0.027589999999999996,7680.0,45,858832891.6751662,3297918304032.638,1273.5306374522106,Continent exterminated,0
(1999 FN19),2018,0.0248,5700.0,112,13241134450.868671,37737233184975.71,111.29591773230852,Mount Krakatoa comparable,0
(2016 JQ5),2018,0.0030800000000000003,10430.0,5990,2025590234504240.0,1.0563453072939612e+19,0.0003975972601950716,Large city block,0
388945 (2008 TZ3),2018,0.016640000000000002,9020.0,270,185507904601.83594,836640649754280.1,5.0200764225758485,Entirety of Paris destroyed,0
(1999 LK1),2018,0.03402,10030.0,130,20706237179.811687,103841779456755.6,40.446148187869504,Entirety of Paris destroyed,0
68347 (2001 KB67),2018,0.024419999999999997,13340.0,360,439722440537.6851,2932948678386359.5,1.4320059641516614,Entirety of Paris destroyed,0
(2013 LE7),2018,0.04526,1720.0,7988,4803804183239242.0,4.131271597585748e+18,0.0010166361375162107,Multiple city blocks,0
(2018 EJ4),2018,0.013859999999999999,6190.0,180,54965305067.21064,170117619183016.94,24.688800726052552,Entirety of Paris destroyed,0
(2015 DP155),2018,0.023030000000000002,4420.0,150,31808625617.59875,70297062614893.24,59.746450900925424,Mount Krakatoa comparable,0
(2017 YE5),2018,0.03984,15470.0,520,1325199179507.948,1.0250415653493978e+16,0.4097394819856285,Entirety of Paris destroyed,0
467309 (1996 AW1),2018,0.04593,13990.0,320,308831124218.5114,2160273713908487.2,1.9441980768266287,Entirety of Paris destroyed,0
441987 (2010 NY65),2018,0.018690000000000002,12580.0,170,46303934121.263016,291251745622744.4,14.42051442823014,Entirety of Paris destroyed,0
(2016 GK135),2018,0.04281,2750.0,5990,2025590234504240.0,2.78518657244333e+18,0.00150797797230349,Multiple city blocks,0
(2016 NF23),2018,0.028630000000000006,9040.0,90,6870663133.40133,31055397362974.01,135.24219158784538,Mount Krakatoa comparable,0
(1998 SD9),2018,0.01083,10700.0,48,1042305044.237476,5576331986670.496,753.1832771146982,Minor extiction event,0
(2018 DE1),2018,0.03756,6480.0,26,165649897.43849352,536705667700.719,7825.518254713175,Major extinction event,1
(2015 FP118),2018,0.031439999999999996,9770.0,450,858832891675.1663,4195398675833187.0,1.00109675492661,Entirety of Paris destroyed,0
(2017 SL16),2018,0.02129,6420.0,23,114671273.4486886,368094787770.2904,11410.104515310359,Major extinction event,1
(2018 EB),2018,0.03826,15140.0,160,38603890527.313934,292231451291766.5,14.372169667003716,Entirety of Paris destroyed,0
(2014 US7),2018,0.006840000000000001,8690.0,17,46303934.12126301,201190593756.8878,20875.727446160552,Major extinction event,1
(2013 UG1),2018,0.02671,13420.0,118,15485211782.439856,103905771060171.44,40.421238947043626,Entirety of Paris destroyed,0
(2016 GC221),2018,0.01939,14400.0,36,439722440.5376852,3166001571871.333,1326.5944140127197,Continent exterminated,0
475534 (2006 TS7),2018,0.0193,18110.0,190,64644552032.92144,585356418658103.6,7.175115649416234,Entirety of Paris destroyed,0
(2002 VE68),2018,0.03764,8630.0,260,165649897438.4935,714779307447099.5,5.875939546992049,Entirety of Paris destroyed,0
(2010 VQ),2018,0.03776,3840.0,6990,3218864199550717.0,6.180219263137376e+18,0.0006795875390783267,Multiple city blocks,0
(2009 WB105),2018,0.03893,18880.0,67,2834624493.815068,26758855221614.24,156.95738719821938,Mount Krakatoa comparable,0
(2008 WD14),2018,0.00828,9300.0,90,6870663133.40133,31948583570316.184,131.46122709184112,Mount Krakatoa comparable,0
